variable,px_change,category,weight,incidence
Harinas de trigo,1.353594793,"Alimentos, bebidas y tabaco",0.03273,0.000443032
Jugos o néctares envasados,1.418809705,"Alimentos, bebidas y tabaco",0.20285,0.002878055
Crema de leche,1.458796086,"Alimentos, bebidas y tabaco",0.12038,0.001756099
Queso fresco,1.538995316,"Alimentos, bebidas y tabaco",0.22223,0.003420109
Otros quesos,1.544152863,"Alimentos, bebidas y tabaco",0.16603,0.002563757
Queso Oaxaca o asadero,1.781027998,"Alimentos, bebidas y tabaco",0.18496,0.003294189
Carnitas,1.870887827,"Alimentos, bebidas y tabaco",0.12866,0.002407084
Yogurt,1.917744917,"Alimentos, bebidas y tabaco",0.2185,0.004190273
"Chiles envasados, moles y salsas",2.11650189,"Alimentos, bebidas y tabaco",0.10094,0.002136397
"Leche evaporada, condensada y maternizada",2.15944031,"Alimentos, bebidas y tabaco",0.06021,0.001300199
Cerveza,2.192178001,"Alimentos, bebidas y tabaco",1.55446,0.03407653
Otros alimentos cocinados,2.232096476,"Alimentos, bebidas y tabaco",0.94088,0.021001349
Helados,2.370339338,"Alimentos, bebidas y tabaco",0.03591,0.000851189
Leche pasteurizada y fresca,2.423939634,"Alimentos, bebidas y tabaco",1.42876,0.03463228
Café soluble,2.500789498,"Alimentos, bebidas y tabaco",0.11735,0.002934676
Agua embotellada,2.56092671,"Alimentos, bebidas y tabaco",0.39966,0.010235
Refrescos envasados,2.56092671,"Alimentos, bebidas y tabaco",1.0909,0.027937149
Chayote,2.585912352,"Alimentos, bebidas y tabaco",0.08392,0.002170098
Arroz,2.876960952,"Alimentos, bebidas y tabaco",0.14922,0.004293001
Tequila,2.951154901,"Alimentos, bebidas y tabaco",0.15409,0.004547435
Verduras envasadas,2.960386801,"Alimentos, bebidas y tabaco",0.05922,0.001753141
Pan de caja,3.081425969,"Alimentos, bebidas y tabaco",0.19644,0.006053153
Vino de mesa,3.319433776,"Alimentos, bebidas y tabaco",0.07769,0.002578868
Sopas instantáneas y puré de tomate,3.398129518,"Alimentos, bebidas y tabaco",0.01531,0.000520254
Jamón,3.656366412,"Alimentos, bebidas y tabaco",0.19651,0.007185126
Mayonesa y mostaza,3.738933886,"Alimentos, bebidas y tabaco",0.06172,0.00230767
Otros condimentos,3.834584566,"Alimentos, bebidas y tabaco",0.02258,0.000865849
Tocino,3.99073914,"Alimentos, bebidas y tabaco",0.01828,0.000729507
Cigarrillos,4.108868483,"Alimentos, bebidas y tabaco",0.68478,0.02813671
Pizzas,4.119559891,"Alimentos, bebidas y tabaco",0.16161,0.006657621
Leche en polvo,4.2430302,"Alimentos, bebidas y tabaco",0.10708,0.004543437
Otros licores,4.271190855,"Alimentos, bebidas y tabaco",0.05519,0.00235727
Otras conservas de frutas,4.391289748,"Alimentos, bebidas y tabaco",0.02216,0.00097311
Papas fritas y similares,4.539878266,"Alimentos, bebidas y tabaco",0.0742,0.00336859
"Dulces, cajetas y miel",4.562326144,"Alimentos, bebidas y tabaco",0.04522,0.002063084
Nopales,4.80483176,"Alimentos, bebidas y tabaco",0.06659,0.003199537
Chorizo,4.964363729,"Alimentos, bebidas y tabaco",0.45345,0.022510907
Concentrados para refrescos,5.03820678,"Alimentos, bebidas y tabaco",0.09139,0.004604417
Ejotes,5.038245094,"Alimentos, bebidas y tabaco",0.02989,0.001505931
Otras legumbres,5.065310847,"Alimentos, bebidas y tabaco",0.20423,0.010344884
Otras legumbres secas,5.065310847,"Alimentos, bebidas y tabaco",0.05603,0.002838094
Salchichas,5.177216642,"Alimentos, bebidas y tabaco",0.12008,0.006216802
Melón,5.390230676,"Alimentos, bebidas y tabaco",0.04624,0.002492443
Maíz,6.056931741,"Alimentos, bebidas y tabaco",0.03634,0.002201089
Pasta para sopa,6.711633381,"Alimentos, bebidas y tabaco",0.12387,0.0083137
Papaya,7.201556598,"Alimentos, bebidas y tabaco",0.07808,0.005622975
Otros mariscos,7.438524424,"Alimentos, bebidas y tabaco",0.01759,0.001308436
Carnes secas y otros embutidos,7.505148527,"Alimentos, bebidas y tabaco",0.04638,0.003480888
Sandía,7.854811357,"Alimentos, bebidas y tabaco",0.02538,0.001993551
Azúcar,8.789503044,"Alimentos, bebidas y tabaco",0.18039,0.015855385
Zanahoria,9.38156542,"Alimentos, bebidas y tabaco",0.06924,0.006495796
Naranja,11.16457784,"Alimentos, bebidas y tabaco",0.03518,0.003927698
Chile serrano,11.32946907,"Alimentos, bebidas y tabaco",0.07644,0.008660246
Barbacoa o birria,11.83167887,"Alimentos, bebidas y tabaco",0.17775,0.021030809
Guayaba,11.8613673,"Alimentos, bebidas y tabaco",0.04095,0.00485723
Cebolla,12.33005085,"Alimentos, bebidas y tabaco",0.16968,0.02092163
Lechuga y col,12.86543556,"Alimentos, bebidas y tabaco",0.10468,0.013467538
Otras Frutas,14.33778858,"Alimentos, bebidas y tabaco",0.13268,0.019023378
Carne de res,14.4903969,"Alimentos, bebidas y tabaco",1.77624,0.257384226
Chícharo,14.95865229,"Alimentos, bebidas y tabaco",0.01928,0.002884028
Uva,15.13747255,"Alimentos, bebidas y tabaco",0.07354,0.011132097
Chile seco,15.58352196,"Alimentos, bebidas y tabaco",0.02655,0.004137425
Vísceras de res,15.71427574,"Alimentos, bebidas y tabaco",0.04028,0.00632971
Jitomate,16.36668358,"Alimentos, bebidas y tabaco",0.49454,0.080939797
Chile poblano,17.88397166,"Alimentos, bebidas y tabaco",0.04637,0.008292798
Otros chiles frescos,21.37367202,"Alimentos, bebidas y tabaco",0.09132,0.019518437
Pepino,26.86709661,"Alimentos, bebidas y tabaco",0.03996,0.010736092
Limón,31.92095808,"Alimentos, bebidas y tabaco",0.20734,0.066184914
Juguetes,-1.137435394,Educación y esparcimiento,0.06405,-0.000728527
Material y aparatos fotográficos,-0.365200614,Educación y esparcimiento,0.08165,-0.000298186
Servicio de televisión de paga,0.646768599,Educación y esparcimiento,0.81908,0.005297552
"Películas, música y videojuegos",1.325158228,Educación y esparcimiento,0.06147,0.000814575
Servicio de Internet,1.44638521,Educación y esparcimiento,0.41758,0.006039815
Club deportivo,2.177786751,Educación y esparcimiento,0.13633,0.002968977
Artículos deportivos,2.258283565,Educación y esparcimiento,0.01192,0.000269187
Centro nocturno,2.392996643,Educación y esparcimiento,0.46151,0.011043919
Carrera corta,2.485678394,Educación y esparcimiento,0.11036,0.002743195
Otras diversiones y espectáculos deportivos,2.535613808,Educación y esparcimiento,0.39557,0.010030128
Otros libros,2.564292734,Educación y esparcimiento,0.15869,0.004069276
Cine,2.652838232,Educación y esparcimiento,0.57581,0.015275308
Libros de texto,2.668103561,Educación y esparcimiento,0.11793,0.003146495
Material escolar,3.602540674,Educación y esparcimiento,0.33907,0.012215135
Enseñanza adicional,3.611730101,Educación y esparcimiento,0.23514,0.008492622
Guarderías y estancias infantiles,4.034276432,Educación y esparcimiento,0.08232,0.003321016
Preparatoria,4.179566563,Educación y esparcimiento,0.93883,0.039239025
Preescolar,4.230675752,Educación y esparcimiento,0.36953,0.015633616
Universidad,4.305035777,Educación y esparcimiento,1.78204,0.07671746
Secundaria,4.31721016,Educación y esparcimiento,0.6646,0.028692179
Hoteles,4.457523455,Educación y esparcimiento,0.08508,0.003792461
Periódicos,4.53130071,Educación y esparcimiento,0.12049,0.005459764
Revistas,4.53130071,Educación y esparcimiento,0.03667,0.001661628
Alimento para mascotas,4.642628641,Educación y esparcimiento,0.14197,0.00659114
Primaria,4.669074201,Educación y esparcimiento,0.9276,0.043310332
Instrumentos musicales y otros,4.810913238,Educación y esparcimiento,0.01672,0.000804385
Servicios turísticos en paquete,6.329101869,Educación y esparcimiento,0.54385,0.034420821
Computadoras,-1.359454773,"Muebles, aparatos y accesorios domésticos",0.29685,-0.004035541
Jabón para lavar,-0.639617771,"Muebles, aparatos y accesorios domésticos",0.13814,-0.000883568
Blanqueadores,-0.426726844,"Muebles, aparatos y accesorios domésticos",0.21189,-0.000904192
Licuadoras,-0.278296435,"Muebles, aparatos y accesorios domésticos",0.02359,-6.57E-05
Planchas eléctricas,0.212039767,"Muebles, aparatos y accesorios domésticos",0.01668,3.54E-05
Televisores,0.394183135,"Muebles, aparatos y accesorios domésticos",0.33101,0.001304786
Suavizantes y limpiadores,0.865429194,"Muebles, aparatos y accesorios domésticos",0.52161,0.004514165
Colchas y cobijas,1.043924489,"Muebles, aparatos y accesorios domésticos",0.0837,0.000873765
Velas y veladoras,1.432452897,"Muebles, aparatos y accesorios domésticos",0.04312,0.000617674
Equipos y reproductores de audio,1.750288265,"Muebles, aparatos y accesorios domésticos",0.07489,0.001310791
Cerillos,2.188952977,"Muebles, aparatos y accesorios domésticos",0.0341,0.000746433
