team,lat,lng,expire_time
,19.592557,-99.020589,0
,19.476266,-99.180785,0
,19.478293,-99.175258,0
,19.474635,-99.182099,0
,19.46744,-99.185561,0
,19.477,-99.174987,0
,19.474024,-99.170263,0
,19.471681,-99.183876,0
,19.474737,-99.181568,0
,19.469055,-99.184364,0
,19.474094,-99.181934,0
,19.475859,-99.179711,0
,19.475272,-99.18295,0
,19.467611,-99.185459,0
,19.466354,-99.184041,0
,19.470363,-99.183612,0
,19.472732,-99.175418,0
,19.47191,-99.185215,0
,19.469374,-99.183888,0
,19.471465,-99.169773,0
,19.560407,-99.047903,0
,19.560897,-99.048648,0
,19.378741,-98.990705,0
,19.298676,-99.168151,0
,19.299078,-99.174115,0
,19.300951,-99.177263,0
,19.304679,-99.167977,0
,19.295766,-99.178689,0
,19.434373,-99.162529,0
,19.434733,-99.163735,0
,19.432278,-99.163938,0
,19.434777,-99.163485,0
,19.433989,-99.162824,0
,19.433185,-99.162721,0
,19.434008,-99.163546,0
,19.541476,-99.033223,0
,19.432814,-99.162933,0
,19.434145,-99.164655,0
,19.328234,-99.109298,0
,19.325629,-99.108945,0
,19.611172,-99.008173,0
,19.479758,-98.880305,0
,19.47898,-98.873473,0
,19.478897,-98.872495,0
,19.292983,-99.174084,0
,19.4642,-99.047412,0
,19.327347,-99.113465,0
,19.326653,-99.115556,0
,19.328447,-99.109743,0
,19.328059,-99.111345,0
,19.326273,-99.110825,0
,19.325444,-99.113676,0
,19.326585,-99.113778,0
,19.327105,-99.112975,0
,19.4351,-99.162353,0
,19.435077,-99.163671,0
,19.435046,-99.16338,0
,19.437705,-99.163788,0
,19.436201,-99.163432,0
,19.435411,-99.16443,0
,19.36499,-98.986326,0
,19.359209,-98.9811,0
,19.3113,-98.900382,0
,19.311449,-98.900721,0
,19.394257,-99.199396,0
,19.39384,-99.199486,0
,19.393245,-99.196419,0
,19.394002,-99.195776,0
,19.392766,-99.198585,0
,19.451014,-99.173669,0
,19.45395,-99.177586,0
,19.450307,-99.177423,0
,19.453587,-99.17631,0
,19.452826,-99.177382,0
,19.454184,-99.176544,0
,19.452214,-99.174263,0
,19.453008,-99.176606,0
,19.44979,-99.177869,0
,19.452668,-99.175425,0
,19.454416,-99.17523,0
,19.453274,-99.174602,0
,19.453846,-99.178341,0
,19.453083,-99.17496,0
,19.454233,-99.177222,0
,19.452942,-99.173792,0
,19.45348,-99.17469,0
,19.454031,-99.177794,0
,19.449605,-99.174414,0
,19.35597,-98.981099,0
,19.307366,-99.186299,0
,19.309623,-99.185497,0
,19.318492,-99.116236,0
,19.32481,-99.114561,0
,19.318804,-99.114044,0
,19.31862,-99.116592,0
,19.317035,-99.116995,0
,19.323568,-99.112644,0
,19.322592,-99.113113,0
,19.323775,-99.114235,0
,19.32508,-99.114414,0
,19.320935,-99.117114,0
,19.461316,-99.061177,0
,19.461968,-99.061741,0
,19.460812,-99.063339,0
