disappear_time,name,lat,lng
2016-07-23T18:59:55Z,Pidgey,19.6095035284577,-98.9880750050921
2016-07-23T19:04:03Z,Geodude,19.609939823764,-98.9904053727683
2016-07-23T18:52:47Z,Sandshrew,19.6108079386357,-98.9896285758939
2016-07-23T18:53:23Z,Venonat,19.6114212145854,-98.9884202404038
2016-07-23T18:52:49Z,Sandshrew,19.6108079386357,-98.9896285758939
2016-07-23T18:54:10Z,Cubone,19.398570407023,-99.0689875814122
2016-07-23T18:56:41Z,Sandshrew,19.3995703927976,-99.0692467724904
2016-07-23T18:57:00Z,Ekans,19.3995833546133,-99.0689875814122
2016-07-18T21:53:36Z,Diglett,19.3996897494428,-99.0705427405599
2016-07-23T19:05:13Z,Mankey,19.4036005947231,-99.0696787594991
2016-07-23T19:05:45Z,Ekans,19.4040307760276,-99.0702835452556
