disappear_time,name,lat,lng,id
1.469037256177883e+09,Ekans,19.427365566342587,-99.1864874421855,23
1.4690373571791e+09,Sandshrew,19.42564697757987,-99.18588177644641,27
1.469037348179877e+09,Ponyta,19.425528662414848,-99.18458393666295,77
1.469036881064419e+09,Rhyhorn,19.425642363698596,-99.189602366657,111
1.469037104452544e+09,Sandshrew,19.423283272179553,-99.19436151210897,27
1.469036814448307e+09,Ekans,19.42288864859192,-99.1948807086528,23
1.469036579924685e+09,Pinsir,19.427062601760525,-99.19245782012565,127
1.469037221782427e+09,Sandshrew,19.426926416009543,-99.1951403081816,27
1.469037348179877e+09,Ponyta,19.425528662414848,-99.18458393666295,77
1.469037256177883e+09,Ekans,19.427365566342587,-99.1864874421855,23
1.46903738792595e+09,Geodude,19.424783016915462,-99.19020806043319,74
1.469036844784515e+09,Doduo,19.425541201892894,-99.19340966048405,84
1.469037099939508e+09,Machamp,19.414488974220944,-99.19167905003117,68
1.469036619925528e+09,Geodude,19.416720699107557,-99.18761226209688,74
1.4690373571791e+09,Sandshrew,19.42564697757987,-99.18588177644641,27
1.469037232046417e+09,Geodude,19.415185853318228,-99.19427497967753,74
1.469036914286819e+09,Sandshrew,19.41885984751588,-99.19263088117096,27
1.469036936454785e+09,Sandshrew,19.422253137291126,-99.1928904734373,27
1.469037212941437e+09,Marowak,19.413024704936046,-99.1915059910345,105
1.469037209453808e+09,Geodude,19.42290182706092,-99.19462110996191,74
1.469036755783749e+09,Ekans,19.425694587182168,-99.19401538294184,23
1.469036710637574e+09,Rhyhorn,19.41372203191564,-99.18501654759498,111
1.46903669506296e+09,Sandshrew,19.42549346472215,-99.18709311248925,27
1.46903705673382e+09,Cubone,19.423954530340815,-99.18839099279585,104
1.469036734142768e+09,Diglett,19.417250814831014,-99.19349619198441,50
1.46903711298427e+09,Cubone,19.423099686411298,-99.18709311248925,104
1.469037344600489e+09,Doduo,19.423594775416067,-99.19185210940032,84
1.469037272075117e+09,Ekans,19.417299239191006,-99.19072723015925,23
1.469037088757306e+09,Ekans,19.41441025884409,-99.1877853127113,23
1.469036810922424e+09,Ekans,19.42633045139344,-99.19237128974267,23
1.469036862391909e+09,Machop,19.42375709939089,-99.19046764487713,66
1.469036615735151e+09,Mankey,19.423239816911206,-99.18977542155595,56
1.469036686785217e+09,Sandshrew,19.425567374864038,-99.19470764276578,27
1.469036806326613e+09,Geodude,19.417694078616005,-99.18475698075626,74
1.46887881838963e+09,Sandshrew,19.426751889920926,-99.18406480661912,27
1.469037357391503e+09,Sandshrew,19.42564697757987,-99.18588177644641,27
1.469037348392785e+09,Ponyta,19.425528662414848,-99.18458393666295,77
1.469036588534392e+09,Sandshrew,19.426646723007163,-99.18250743661334,27
1.468878817536877e+09,Sandshrew,19.426751889920926,-99.18406480661912,27
1.4690372536546e+09,Charmander,19.4223238026541,-99.18423784959438,4
1.469037073657171e+09,Poliwag,19.42204759702989,-99.18423784959438,60
1.469036559657923e+09,Geodude,19.4228762143799,-99.18423784959438,74
1.469037301658523e+09,Diglett,19.424257246478252,-99.18423784959438,50
1.469037113966108e+09,Machop,19.419741542896862,-99.18250743661334,66
1.469036819967553e+09,Growlithe,19.41938639038646,-99.18406480661912,58
1.469037413968475e+09,Geodude,19.419298708696708,-99.18397828527125,74
