team,lat,lng,points
2,19.371765,-99.191423,6000
3,19.368142,-99.197885,2269
1,19.36502,-99.192095,2000
2,19.38576,-99.193853,6000
1,19.390407,-99.195075,4000
2,19.36474,-99.221236,2500
3,19.465594,-99.17341,2931
1,19.406714,-99.189906,3500
1,19.465426,-99.16816,2293
3,19.403509,-99.196722,5500
3,19.395136,-99.193672,6000
1,19.397508,-99.199709,19549
1,19.616923,-98.992251,5938
2,19.47226,-99.154478,2500
2,19.473996,-99.15509,6191
2,19.469705,-99.166169,6791
2,19.473365,-99.160706,4331
1,19.471768,-99.157646,6000
2,19.463338,-99.161252,3500
2,19.309283,-98.889632,6236
3,19.311972,-98.894767,4000
1,19.318819,-98.898707,7835
2,19.315332,-98.883484,2000
2,19.308077,-98.884792,2438
2,19.462198,-99.166588,4000
1,19.460624,-99.167218,2000
1,19.459588,-99.161872,7284
2,19.455181,-99.178714,2000
2,19.460677,-99.170116,4699
3,19.284673,-99.068864,6000
1,19.289856,-99.066502,4000
2,19.291396,-99.068915,4539
1,19.293401,-99.060525,3500
2,19.451391,-99.184676,3043
2,19.450013,-99.182477,6840
2,19.358293,-98.976297,5000
3,19.368107,-98.975211,14252
2,19.306528,-99.085118,3354
1,19.307601,-99.08165,2000
1,19.299692,-99.082026,6915
1,19.314372,-99.083582,4000
2,19.299207,-99.093856,6000
2,19.298957,-99.099162,4000
2,19.304809,-99.085314,3000
1,19.565369,-99.047789,22267
2,19.569369,-99.052322,4000
1,19.565955,-99.051702,18036
1,19.400965,-99.032005,2000
1,19.395959,-99.030949,6210
2,19.399888,-99.0289,6000
3,19.392572,-99.039721,4000
1,19.411837,-99.055939,3500
2,19.412135,-99.050925,2000
2,19.351422,-99.161583,4000
2,19.357727,-99.158943,6000
1,19.350115,-99.163198,6000
2,19.356083,-99.148821,7355
1,19.361105,-99.151356,30815
1,19.273519,-98.935466,3052
2,19.277152,-98.942192,27745
1,19.396594,-99.047975,5122
2,19.367053,-99.113498,4500
1,19.3699,-99.117332,5662
3,19.367105,-99.112044,3000
2,19.369696,-99.120743,6000
2,19.368679,-99.121342,1099
2,19.360823,-99.164711,2000
1,19.655609,-99.204644,23584
1,19.391265,-99.046327,11445
1,19.278148,-98.943166,6400
2,19.278247,-98.947187,6959
2,19.295178,-98.945776,6249
2,19.378406,-99.122439,18091
3,19.37748,-99.116539,23044
2,19.354379,-99.148909,4000
3,19.291869,-99.228847,4000
3,19.29434,-99.227468,2000
2,19.290277,-99.228006,4000
3,19.304375,-99.233306,2000
1,19.304659,-99.223926,6165
1,19.348558,-99.158419,2000
1,19.349138,-99.163526,6788
1,19.343349,-99.155901,3000
2,19.366765,-99.133707,7419
2,19.371265,-99.12908,6258
2,19.369158,-99.127395,5322
1,19.363989,-99.140077,2000
1,19.366833,-99.124332,9756
1,19.365793,-99.104059,2000
3,19.310057,-99.227293,2472
2,19.371775,-99.102286,15422
2,19.644813,-99.19436,2000
2,19.643742,-99.200103,9559
3,19.334842,-99.029347,2000
1,19.431639,-99.208265,7575
2,19.440694,-99.204698,13249
2,19.430291,-99.2065,5000
1,19.440686,-99.207342,7897
2,19.435916,-99.2124,9650
2,19.433612,-99.213141,18343
1,19.295879,-99.213794,4000
1,19.310875,-99.221556,500
3,19.289538,-99.21986,4127
2,19.437779,-99.220319,5784
2,19.416498,-98.945042,10111
2,19.617599,-99.135962,4658
1,19.615893,-99.145252,5000
2,19.369685,-99.141611,2164
1,19.367333,-99.142245,2747
2,19.621347,-99.12448,13547
1,19.354417,-99.155219,6100
3,19.342339,-99.149489,6147
3,19.345021,-99.151736,14227
2,19.349787,-99.145864,2133
2,19.416995,-99.110726,3032
2,19.428764,-99.106107,6000
2,19.415938,-99.112161,6216
2,19.415696,-99.106137,6000
1,19.417909,-99.101949,2000
2,19.429303,-99.106379,6399
2,19.433339,-99.220599,6123
1,19.549363,-99.043083,3500
1,19.546767,-99.036643,4252
2,19.45063,-99.207943,6024
1,19.443515,-99.210658,4000
1,19.449558,-99.204784,500
2,19.373584,-99.136913,6000
1,19.374966,-99.135756,3484
1,19.502257,-99.126872,2178
3,19.516154,-99.126593,2000
1,19.494255,-99.127747,6715
2,19.495905,-99.133409,4000
1,19.509514,-99.128292,2000
2,19.566087,-99.040666,17606
2,19.498625,-99.134797,14072
1,19.500489,-99.130886,3317
3,19.304696,-99.233245,2000
2,19.309125,-99.213394,6000
1,19.49569,-99.181935,1000
2,19.491342,-99.177867,6000
2,19.497816,-99.180516,6000
2,19.621687,-99.015413,9888
2,19.497983,-99.174326,6234
1,19.430042,-99.112295,10093
1,19.430499,-99.118804,7433
2,19.432669,-99.112631,3183
1,19.424559,-99.109175,2000
2,19.430191,-99.231251,1500
2,19.43714,-99.22982,5000
2,19.428848,-99.228206,2000
2,19.445913,-99.201801,6000
2,19.416522,-99.112763,7287
1,19.420339,-99.11502,14396
2,19.41069,-99.121946,3100
2,19.422369,-99.123071,6000
1,19.421254,-99.11883,1500
2,19.443835,-99.218892,6000
2,19.44298,-99.213839,10852
1,19.449461,-99.219823,4000
1,19.444306,-99.199423,15951
1,19.606393,-99.155178,6647
1,19.605837,-99.157521,4000
2,19.499743,-99.1558,5579
2,19.501005,-99.149428,5678
2,19.488676,-99.151243,5500
2,19.493353,-99.153206,4000
1,19.493301,-99.146918,6107
1,19.65673,-99.207962,2000
2,19.663962,-99.211423,21301
2,19.451424,-99.213971,4583
1,19.488157,-99.134937,10158
2,19.49768,-99.134593,7508
1,19.498285,-99.14113,2000
2,19.4972,-99.141402,3130
1,19.649174,-99.209004,6000
1,19.653107,-99.204687,2000
1,19.480844,-99.141207,5500
2,19.489003,-99.144736,5575
1,19.48072,-99.137617,10922
2,19.483727,-99.149765,3689
2,19.488015,-99.146971,2000
1,19.484337,-99.154125,15488
1,19.477115,-99.270967,6000
1,19.502063,-99.032681,4000
