pokestop_id,enabled,latitude,longitude,last_modified,lure_expiration,active_pokemon_id
321c17c27ffc499e84222110fd8bd753.16,1,19.412912,-99.094919,2016-07-24 00:19:31.199000,,
562e2bd832464c5e936b96afd17743ac.16,1,19.421497,-99.100013,2016-07-23 04:35:12.531000,,
bb959afd2fcf4ad18611f0eb8e4c6dfc.16,1,19.423083,-99.086226,2016-07-01 01:55:22.434000,,
2b4119ec59cd4b9689ac5b01eed2eb2b.16,1,19.438134,-99.200805,2016-07-24 04:24:45.468000,,
0ee0cc4231fa4407b4e4e30b503dee89.16,1,19.43811,-99.199929,2016-07-22 19:00:55.830000,,
30c0f9768e71401095ada91f34c2a22c.16,1,19.421187,-99.180868,2016-07-23 21:35:50.157000,,
ba5ec6fec1594042bd3f6ad3ab3fc492.16,1,19.42203,-99.179456,2016-07-24 19:13:13.067000,,
5f604f99a15a4b37a1b86730bf81d1a0.16,1,19.420116,-99.182695,2016-07-24 17:59:22.256000,,
77235723531c4cb5931dab8240b8083a.16,1,19.422095,-99.178361,2016-07-23 19:10:25.903000,,
a4066f6e691c40ae96ced199d5c3ed91.16,1,19.423071,-99.17619,2016-07-24 19:17:56.825000,,
ab079443481c4f6a871a7014b23b3998.16,1,19.4203,-99.181401,2016-07-24 21:25:04.330000,,
54bd8700d6a34a2a9cb126fa630a5df4.16,1,19.420399,-99.181689,2016-07-24 21:52:34.078000,2016-07-24 22:19:34.040000,74
61fc5d43725d4eda8cf03088a42a71e6.16,1,19.420887,-99.1755,2016-07-22 19:55:51.222000,,
859004e19cf446c0a413fb3ecee6723b.16,1,19.42737,-99.171055,2016-07-24 18:38:04.230000,,
8daf89b75c0f4daaa63e59d4cfd88e1e.16,1,19.422337,-99.177117,2016-07-24 20:09:41.221000,,
80e3122ba3c84b9ab47595189a444e16.16,1,19.420815,-99.176904,2016-07-23 14:51:50.440000,,
a361ef161b4f48fb89eed5ee153cf420.16,1,19.419752,-99.176105,2016-07-24 07:52:00.989000,,
5d4f35b3e059432c85a69817570d2b1b.16,1,19.422121,-99.180201,2016-07-22 12:49:51.446000,,
833ddd5339c64dac97543d61184eb86f.16,1,19.420349,-99.179248,2016-07-23 17:07:07.307000,,
59e88938c3e644a2805e63a0e778c0fc.16,1,19.41958,-99.183921,2016-07-20 02:33:39.433000,,
ead1bcc6011e483f9077b75891d0379a.16,1,19.419721,-99.174334,2016-07-23 13:33:46.781000,,
9514af9908c94832b7faf662ba74ec9a.16,1,19.419545,-99.178019,2016-07-23 16:29:33.037000,,
873e5572880a4438b31eeb9f7be5dafa.16,1,19.424078,-99.174837,2016-07-24 13:41:58.819000,,
21dde7d7a157446a9692ef9de6467624.16,1,19.428466,-99.178244,2016-07-23 20:31:10.042000,,
58f7629871764beaa50ee650cf07eacd.16,1,19.422079,-99.17649,2016-07-24 13:49:11.294000,,
