team,lat,lng,points
1,19.430499,-99.118804,6000
1,19.420339,-99.11502,37608
3,19.432669,-99.112631,13299
1,19.421254,-99.11883,6349
1,19.422369,-99.123071,6000
1,19.416128,-99.134502,6118
1,19.417003,-99.127527,6212
2,19.4259,-99.128426,6000
0,19.432023,-99.128122,0
3,19.431243,-99.132468,2795
1,19.426418,-99.133273,10572
1,19.41861,-99.143356,6000
2,19.426988,-99.1426,4000
2,19.430401,-99.136615,3000
0,19.426179,-99.137162,0
1,19.417125,-99.135226,6775
2,19.431325,-99.141184,1500
1,19.419197,-99.156012,11511
3,19.419371,-99.150269,4000
2,19.42132,-99.149974,6000
1,19.423416,-99.154727,14265
2,19.430786,-99.158833,3000
2,19.426945,-99.145784,4000
1,19.421192,-99.160503,4000
1,19.428873,-99.156285,3426
2,19.644813,-99.19436,8922
2,19.643742,-99.200103,10168
3,19.626966,-99.207461,13280
2,19.654796,-99.214262,11533
2,19.658755,-99.221446,2000
1,19.661628,-99.214051,34798
2,19.659065,-99.222302,2000
3,19.649267,-99.222808,5799
2,19.653107,-99.204687,2000
3,19.649174,-99.209004,13792
1,19.65673,-99.207962,9944
2,19.663962,-99.211423,30027
1,19.655609,-99.204644,4000
3,19.653143,-99.171543,2716
2,19.647465,-99.169194,12893
2,19.642405,-99.177599,6000
2,19.639685,-99.170643,6000
2,19.634907,-99.1806,6000
1,19.63164,-99.177635,2000
3,19.63105,-99.170298,3500
1,19.612033,-99.181059,5083
1,19.615279,-99.180514,1500
2,19.624215,-99.189492,6049
2,19.61525,-99.186448,3000
1,19.610591,-99.190894,3200
3,19.619608,-99.216617,4000
2,19.391954,-99.072555,7322
1,19.389891,-99.078381,6000
2,19.395429,-99.074943,6712
1,19.397336,-99.07242,22360
2,19.406742,-99.077743,3000
1,19.402536,-99.070802,30859
2,19.411381,-99.062705,2000
2,19.413321,-99.062474,6000
2,19.402762,-99.067473,5278
1,19.392184,-99.068064,2500
2,19.398768,-99.059402,1153
2,19.390714,-99.059713,6656
1,19.396032,-99.065487,4000
2,19.376621,-99.059658,4000
2,19.388728,-99.059758,2000
2,19.383261,-99.065736,6000
1,19.389383,-99.066163,12444
1,19.37958,-99.06964,5507
1,19.384153,-99.071092,2000
2,19.378714,-99.077173,1313
1,19.385597,-99.07766,2000
1,19.386456,-99.079697,2000
2,19.386232,-99.085545,6000
3,19.371533,-99.080536,2303
1,19.408241,-99.089411,6000
2,19.41224,-99.082127,14009
3,19.404701,-99.081033,6322
1,19.390278,-99.079598,3500
1,19.393317,-99.089689,2000
1,19.395154,-99.092047,4000
1,19.39142,-99.095097,1786
1,19.396034,-99.084786,41500
1,19.45297,-99.138024,6412
1,19.4569,-99.149127,5915
1,19.451511,-99.146244,4000
1,19.463294,-99.154901,5328
3,19.463084,-99.147919,10134
2,19.453335,-99.142765,3478
1,19.462445,-99.144072,4346
0,19.462255,-99.1455,0
1,19.47184,-99.123571,13902
2,19.468003,-99.138815,2000
1,19.473284,-99.132154,5000
2,19.4576,-99.131484,2000
1,19.468349,-99.126283,10077
2,19.461397,-99.126147,1500
1,19.463215,-99.133887,4000
3,19.458281,-99.139413,4000
1,19.455602,-99.118241,14479
1,19.449824,-99.115739,2397
1,19.455636,-99.114775,12517
2,19.456986,-99.128378,3000
2,19.452456,-99.130564,2600
1,19.445699,-99.127722,2000
1,19.447135,-99.132765,4000
1,19.437008,-99.128014,179
1,19.441219,-99.13283,4000
1,19.444229,-99.139055,3500
3,19.433784,-99.133279,2000
1,19.449785,-99.137647,4191
2,19.433708,-99.138276,4000
1,19.439848,-99.14016,23244
3,19.447455,-99.143068,4500
0,19.434331,-99.141741,0
1,19.440052,-99.155809,5500
1,19.436192,-99.155302,10256
1,19.445186,-99.152389,1542
2,19.435626,-99.148816,6000
3,19.454619,-99.151291,1500
1,19.43961,-99.145766,3955
1,19.446801,-99.150168,6690
2,19.336185,-99.279458,18235
2,19.342185,-99.279595,6637
1,19.353201,-99.282352,19418
2,19.351919,-99.287592,6000
2,19.342378,-99.286362,6267
1,19.304659,-99.223926,6000
1,19.310057,-99.227293,3000
3,19.304696,-99.233245,2709
3,19.320096,-99.231406,4000
1,19.319635,-99.225923,2744
2,19.304261,-99.238894,32057
2,19.291869,-99.228847,22045
1,19.29434,-99.227468,9099
3,19.304375,-99.233306,3404
1,19.290277,-99.228006,4000
2,19.2979,-99.244228,4000
1,19.304575,-99.238152,6353
2,19.305077,-99.241428,7814
3,19.298235,-99.244053,2000
1,19.312673,-99.223376,15449
2,19.312182,-99.221501,2000
2,19.295879,-99.213794,6754
1,19.289538,-99.21986,6464
3,19.302257,-99.245975,4000
2,19.319992,-99.243362,1954
1,19.315856,-99.241727,10662
3,19.310875,-99.221556,4494
1,19.309125,-99.213394,6000
1,19.306715,-99.209914,6188
3,19.305143,-99.204722,12421
3,19.315664,-99.249441,2000
1,19.322585,-99.238668,3500
1,19.329908,-99.2451,5923
3,19.32531,-99.232555,18067
1,19.320018,-99.221702,21038
3,19.305145,-99.250124,2000
1,19.307219,-99.255838,2000
1,19.32323,-99.223451,19043
2,19.333149,-99.219556,11190
3,19.329063,-99.212269,12629
1,19.330497,-99.212838,4000
3,19.326618,-99.222539,6200
1,19.305653,-99.210352,4000
2,19.311919,-99.254433,6170
2,19.295443,-99.210789,5201
2,19.293992,-99.209157,14447
3,19.305819,-99.261119,6383
2,19.302729,-99.261503,8667
2,19.322139,-99.247057,5526
2,19.285714,-99.234069,4448
2,19.312301,-99.260035,2000
2,19.310859,-99.200496,8392
3,19.283328,-99.210027,2770
1,19.313337,-99.199575,18157
1,19.320585,-99.193489,4000
3,19.295503,-99.194842,3276
3,19.294396,-99.191932,6000
1,19.301122,-99.193338,4500
1,19.301905,-99.196279,10206
1,19.333011,-99.204709,6273
2,19.331484,-99.210662,3935
1,19.281545,-99.202288,2000
1,19.297053,-99.26054,7027
2,19.307877,-99.264807,5500
3,19.309509,-99.263407,1500
1,19.335678,-99.197491,5139
1,19.263154,-99.241073,2000
1,19.273424,-99.239391,454
2,19.337179,-99.211907,4000
1,19.281388,-99.198082,6199
2,19.328772,-99.271845,2349
2,19.362908,-99.264312,6167
3,19.359609,-99.25933,3068
2,19.367429,-99.260447,4100
1,19.34172,-99.252293,14343
1,19.35098,-99.219426,5835
3,19.347689,-99.202125,4000
1,19.34805,-99.208051,12313
1,19.34963,-99.197482,20485
1,19.356271,-99.198781,5414
1,19.359078,-99.193478,5000
1,19.350147,-99.190399,18753
2,19.340193,-99.204203,3756
2,19.336401,-99.200943,6000
2,19.338137,-99.18635,10312
1,19.340667,-99.19008,37558
1,19.345054,-99.199413,19285
2,19.338968,-99.182483,3463
1,19.342918,-99.190764,4456
2,19.326159,-99.19437,6340
1,19.331646,-99.190289,10200
1,19.332818,-99.180101,13557
1,19.329457,-99.189799,10035
2,19.325367,-99.18434,4000
2,19.331635,-99.188181,6000
2,19.317974,-99.187742,6000
1,19.315698,-99.183974,6000
2,19.32376,-99.185172,2000
3,19.324167,-99.168781,2000
2,19.317999,-99.176428,6000
1,19.324792,-99.179298,13908
2,19.324637,-99.174951,10000
2,19.314787,-99.167818,2000
2,19.301691,-99.182096,8085
1,19.307499,-99.173594,6032
3,19.311593,-99.181329,2000
1,19.307427,-99.186744,10314
1,19.309185,-99.170844,4000
1,19.307553,-99.176048,5500
1,19.302577,-99.185699,25511
3,19.291681,-99.165765,6082
1,19.295724,-99.176714,7520
3,19.291102,-99.173903,2630
1,19.302276,-99.171785,6298
3,19.300842,-99.167879,5696
