lat,lng
19.48265,-99.1848
19.477607,-99.185274
19.483832,-99.185256
19.484856,-99.185505
19.467675,-99.188473
19.474755,-99.18712
19.467849,-99.188598
19.472478,-99.18751
19.482792,-99.181424
19.480487,-99.185438
19.489668,-99.178983
19.489414,-99.180549
19.477869,-99.18927
19.4794,-99.188417
19.476676,-99.188276
19.469195,-99.188752
19.487977,-99.181957
19.469873,-99.187551
19.48725,-99.185312
19.483067,-99.186804
19.472656,-99.188404
19.486358,-99.181951
19.48116,-99.18627
19.481104,-99.18734
19.481381,-99.185677
19.482937,-99.182974
19.478983,-99.189806
19.466067,-99.187654
19.483456,-99.183979
19.480527,-99.186809
19.479083,-99.189145
19.478118,-99.186282
19.540816,-99.068149
19.37099,-99.009461
19.484808,-99.050068
19.489584,-99.056914
19.485787,-99.049914
19.485048,-99.050979
19.49057,-99.046847
19.593307,-98.997283
19.454518,-99.172441
19.453935,-99.170815
19.454808,-99.172688
19.453695,-99.172084
19.452889,-99.171937
19.491166,-99.186291
19.490173,-99.186618
19.491393,-99.188328
19.492082,-99.184736
19.328678,-99.106787
19.333865,-99.10875
19.323392,-99.112247
19.321928,-99.101442
19.319573,-99.106169
19.328797,-99.107675
19.318906,-99.109852
19.331757,-99.111684
19.330015,-99.110648
19.331134,-99.111312
19.324944,-99.111594
19.328391,-99.104754
19.330111,-99.111643
19.328992,-99.10849
19.320271,-99.10616
19.322123,-99.102083
19.318428,-99.109229
19.328659,-99.106134
19.319074,-99.105324
19.320583,-99.106217
19.329863,-99.107316
19.324548,-99.112121
19.322082,-99.103014
19.329182,-99.106471
19.332166,-99.11193
19.332613,-99.10779
19.329043,-99.109641
19.329482,-99.111988
19.32961,-99.11111
19.328343,-99.105005
19.322883,-99.102847
19.40513,-99.202203
19.404103,-99.202548
19.404843,-99.202261
19.439876,-99.165617
19.438333,-99.166675
19.302272,-99.177907
19.3118,-99.181876
19.305815,-99.168309
19.303023,-99.178697
19.308273,-99.168201
19.302207,-99.178754
19.309444,-99.179846
19.308259,-99.178221
19.305155,-99.173406
19.310201,-99.169149
19.313359,-99.169081
19.309815,-99.169074
19.311962,-99.168416
19.305745,-99.168669
19.309866,-99.169307
19.310528,-99.17272
19.312321,-99.181132
19.308488,-99.17718
19.310882,-99.181259
19.308042,-99.176969
19.30863,-99.171934
19.306378,-99.169193
19.307693,-99.169352
19.526915,-99.030407
19.301554,-99.181541
19.30685,-99.174393
19.302249,-99.177292
19.310503,-99.169085
19.312217,-99.180276
19.305736,-99.180568
19.312998,-99.169062
19.307631,-99.180693
19.31202,-99.169974
19.312325,-99.179269
19.302288,-99.178222
19.303662,-99.181729
19.311421,-99.180804
19.308526,-99.169927
19.311438,-99.181997
19.308822,-99.168269
19.302754,-99.184284
19.307119,-99.177915
19.523934,-99.031652
19.401059,-99.2073
19.400728,-99.207858
19.435229,-99.167348
19.435091,-99.166971
19.435129,-99.165742
19.435522,-99.166882
19.324844,-99.107968
19.433071,-99.166044
19.433988,-99.165591
19.432341,-99.166848
19.470041,-99.17171
19.475288,-99.175494
19.610453,-99.019194
19.592889,-99.020287
19.615824,-99.01807
19.607847,-99.018232
19.608224,-99.017483
19.601414,-99.014704
19.606935,-99.016571
19.593214,-99.020125
19.605955,-99.016115
19.597484,-99.018935
19.599798,-99.017194
19.602786,-99.014529
19.592557,-99.020589
19.476266,-99.180785
19.478293,-99.175258
19.474635,-99.182099
19.46744,-99.185561
19.477,-99.174987
19.474024,-99.170263
19.471681,-99.183876
19.474737,-99.181568
19.469055,-99.184364
19.474094,-99.181934
19.475859,-99.179711
19.475272,-99.18295
19.467611,-99.185459
19.466354,-99.184041
19.470363,-99.183612
19.472732,-99.175418
19.47191,-99.185215
19.469374,-99.183888
19.471465,-99.169773
19.560407,-99.047903
19.560897,-99.048648
19.378741,-98.990705
19.298676,-99.168151
19.299078,-99.174115
19.300951,-99.177263
19.304679,-99.167977
19.295766,-99.178689
19.434373,-99.162529
19.434733,-99.163735
19.432278,-99.163938
19.434777,-99.163485
19.433989,-99.162824
19.433185,-99.162721
19.434008,-99.163546
